,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Karlsruher Institut für Technologie (KIT) Studierendenstatistik Stand: Sommersemester 2014 12.06.2014 Statistik 1 - (Gesamtstatistik),,,,,,,,,,,
,Status,Insgesamt,davon,,davon,,,davon,,,
,,,männlich,weiblich,Deutsche männlich,weiblich,Gesamt,Ausländer männlich,weiblich,Gesamt,
,,,,,,,,,,,
,Erstimmatr.,393,261,132,7,1,8,254,131,385,
,,"100,0%","66,4%","33,6%","1,8%","0,3%","2,0%","64,6%","33,3%","98,0%",
,,,,,,,,,,,
,Neuimmatr.,1.209,893,316,808,260,1.068,85,56,141,
,,"88,3%","73,9%","26,1%","66,8%","21,5%","88,3%","7,0%",,,
,,,,,,,,,,,
,Rückmelder,20.691,15.026,5.665,12.714,4.498,17.212,2.312,1.167,3.479,
,,"100,0%","72,6%","27,4%","61,4%","21,7%","83,2%","11,2%","5,6%","16,8%",
,,,,,,,,,,,
,Beurlaubt,321,196,125,184,98,282,12,27,39,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Insgesamt,22.614,16.376,6.238,13.713,4.857,18.570,2.663,1.381,4.044,
,,"100,0%","72,4%","27,6%","60,6%","21,5%","82,1%","11,8%","6,1%","17,9%",
,,,,,,,,,,,
,davon,,,,,,,,,,
,Zweitimmatr.,61,25,36,23,35,58,2,1,3,
,,,,,,,,,,,
,,,,,,,,,,,
,Studienkolleg,257,157,100,4,1,5,153,99,252,
,,"100,0%","61,1%","38,9%","1,6%","0,4%","1,9%","59,5%","38,5%","98,1%",
,5,,,,,,,,,,
